name,industry,office,size,review_counts,salaries_count,jobs_count,interviews_count,benefits_count,website,company_type,revenue,head_quarter,founded,interview_possitive,interview_negative,interview_neutral,interview_difficulty,benefits_score,rating,total_insurance_health_wellness_benefits,health_insurance,dental_insurance,FSA,vision insurance,HSA,life_insurance,supplemental_life_insurance,disability_insurance,occupational_accident_insurance,heakth_care_on_site,mental_health_care,retiree_health_and_medical,accidental_death_and_dismemberment_insurance,total_financial_retirement_benefits,pension_plan,plan_401K,retirement_plan,employee_stock_purcase_plan,performance_bonus,stock_options,equity_incentive_plan,supplemental_workers_compensation,charity_gift_matching,total_family_parenting_benefits,maternity_paternity_leave,work_from_home,fertility_assistance,dependent_care,adoption_assistance,childcare,flexible_hour,military_leave,family_medical_leave,unpaid_extended_leave,total_vacation_time_off_benefits,vacation_paid_time_off,sick_days,paid_holidays,volunteer_time_off,sabbatical,bereavement_leave,total_perk_discounts_benefits,employee_discount,free_lunch_or_snacks,employee_assistance_program,gym_membership,commuter_checks_and_assistance,pet_friendly_worksplace,mobile_phone_discount,company_car,company_social_events,travel_concierge,legal_assistance,total_professional_support_benefits,diversity_program,job_training,professional_development,apprenticeship,tuition_assistance
Cargill,Food Production,25 office locations,10000+ Employees,4.1K,3.9K,2.9K,859,1.0k,https://www.cargill.com/,Company - Private,$10+ billion (USD),"Wayzata, MN",1865,69%,15%,16%,2.9,3.8,4.1,11,1,1,1,1,1,1,1,1,1,0,1,1,0,5,0,1,1,0,1,1,0,0,1,4,1,0,0,0,1,0,0,0,1,1,5,1,1,1,1,0,1,5,1,0,1,0,0,0,1,0,1,0,1,4,1,1,1,0,1
Disney Parks,"Museums, Zoos & Amusement Parks",18 office locations,10000+ Employees,4.2K,5.4K,92,1.1k,1.1k,https://disneyparks.disney.go.com/,Subsidiary or Business Segment,$2 to $5 billion (USD),"Orlando, FL",1901,79%,7%,15%,2.4,3.9,4.1,9,1,1,0,1,1,1,0,1,0,1,1,0,1,6,1,1,1,1,0,1,0,0,1,8,1,1,0,1,1,0,1,1,1,1,4,1,1,1,0,0,1,7,1,0,1,1,1,0,1,0,1,0,1,4,1,1,1,0,1
Duke Energy,Energy,28 office locations,10000+ Employees,1.2K,2.2K,54,254,359,https://www.duke-energy.com/,Company - Public (DUK),$10+ billion (USD),"Charlotte, NC",1917,73%,12%,15%,2.8,4,4,10,1,1,1,1,1,1,1,1,1,0,0,0,1,4,1,1,1,0,1,0,0,0,0,4,1,0,0,0,0,0,1,1,1,0,5,1,1,1,1,0,1,5,1,0,1,0,1,0,1,0,1,0,0,4,1,1,1,0,1
VIPKid,K-12 Education,25 office locations,5001 to 10000 Employees,4K,2.2K,2,534,597,https://www.vipkid.com/,Company - Private,Unknown / Non-Applicable,"San Francisco, CA",2013,57%,30%,13%,3.1,2.8,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,1,1,0,0,0,0,1,1,1,1,5,1,1,0,1,1,1,4,1,0,1,0,0,1,0,0,1,0,0,4,1,1,1,1,0
Grainger,Wholesale,16 office locations,10000+ Employees,2.5K,3.4K,256,511,960,https://www.grainger.com/,Company - Public (GWW),$10+ billion (USD),"Lake Forest, IL",1927,64%,17%,19%,2.9,4.1,4,12,1,1,1,1,1,1,1,1,1,0,1,1,1,7,0,1,1,1,1,0,1,1,1,8,1,1,1,0,1,0,1,1,1,1,5,1,1,1,1,0,1,6,1,0,1,1,0,0,1,0,1,0,1,4,1,1,1,0,1
Teach for America,Education Training Services,25 office locations,1001 to 5000 Employees,1.4K,1.7K,37,1.0k,344,https://www.teachforamerica.org/,Nonprofit Organization,$100 to $500 million (USD),"New York, NY",1990,66%,13%,21%,3.4,4,4,9,1,1,1,1,1,1,1,0,0,0,1,0,1,4,1,1,1,0,0,0,1,0,0,8,1,1,0,1,1,1,1,0,1,1,4,1,1,1,0,0,1,4,0,0,1,0,0,0,1,0,1,1,0,3,1,1,1,0,0
Coach,Other Retail Stores,,10000+ Employees,2.1K,2.5K,41,495,459,https://www.coach.com/,Company - Public (TPR),$2 to $5 billion (USD),"New York, NY",1941,73%,11%,16%,2.5,4,3.8,4,1,1,0,1,0,1,0,0,0,0,0,0,0,5,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Discovery, Inc.",TV Broadcast & Cable Networks,13 office locations,10000+ Employees,1.4K,1.9K,394,451,425,https://corporate.discovery.com/,Company - Public (DISCA),$5 to $10 billion (USD),"New York, NY",1985,54%,19%,27%,2.8,4.3,3.9,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,3,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Perficient,IT Services,25 office locations,1001 to 5000 Employees,1K,3K,392,223,281,https://www.perficient.com/,Company - Public (PRFT),$500 million to $1 billion (USD),"Saint Louis, MO",1998,54%,32%,14%,2.8,3.5,3.9,11,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,1,0,1,0,0,0,0,5,1,1,0,0,0,0,1,0,1,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0
Perficient,IT Services,25 office locations,1001 to 5000 Employees,1K,3K,392,223,281,https://www.perficient.com/,Company - Public (PRFT),$500 million to $1 billion (USD),"Saint Louis, MO",1998,54%,32%,14%,2.8,3.5,3.9,11,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,1,0,1,0,0,0,0,5,1,1,0,0,0,0,1,0,1,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0
Teach for America,Education Training Services,25 office locations,1001 to 5000 Employees,1.4K,1.7K,37,1.0k,344,https://www.teachforamerica.org/,Nonprofit Organization,$100 to $500 million (USD),"New York, NY",1990,66%,13%,21%,3.4,4,4,9,1,1,1,1,1,1,1,0,0,0,1,0,1,4,1,1,1,0,0,0,1,0,0,8,1,1,0,1,1,1,1,0,1,1,4,1,1,1,0,0,1,4,0,0,1,0,0,0,1,0,1,1,0,3,1,1,1,0,0
Los Angeles USD,Colleges & Universities,15 office locations,10000+ Employees,1.1K,1.9K,57,142,296,https://www.lausd.net/,School / School District,$2 to $5 billion (USD),"Los Angeles, CA",1961,64%,10%,26%,2.5,4,4,8,1,1,1,1,1,0,1,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,1,4,1,0,1,0,0,0,1,0,0,0,1,2,0,1,1,0,0
ZS Associates,Consulting,30 office locations,5001 to 10000 Employees,3.6K,2.8K,289,1.8k,869,https://www.zs.com/,Company - Private,Unknown / Non-Applicable,"Evanston, IL",1983,70%,11%,18%,3.4,4.1,3.9,5,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,3,0,1,1,0,1
OHSU,Colleges & Universities,3 office locations,10000+ Employees,973,2.2K,1.3K,143,321,https://www.ohsu.edu/,College / University,$2 to $5 billion (USD),"Portland, OR",1887,72%,10%,18%,2.9,4,4,10,1,1,1,1,1,1,1,1,0,0,1,0,1,3,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,4,1,1,1,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,3,1,1,1,0,0
U.S. Department of State,Federal Agencies,10 office locations,10000+ Employees,1.6K,1.7K,29,262,428,https://www.state.gov/,Government,Unknown / Non-Applicable,"Washington, DC",1789,82%,5%,13%,2.9,4.1,4,11,1,1,1,1,1,1,1,0,1,0,1,1,1,3,1,1,1,0,0,0,0,0,0,6,1,1,0,0,0,0,1,1,1,1,4,1,1,1,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,3,1,1,1,0,0
Atrium Health,Health Care Services & Hospitals,21 office locations,10000+ Employees,1.3K,2.2K,2.2K,215,402,https://www.atriumhealth.org/,Hospital,$2 to $5 billion (USD),"Charlotte, NC",1943,76%,11%,13%,2.7,2.9,3.9,10,1,1,1,1,1,1,1,1,0,1,0,0,1,4,1,1,1,0,1,0,0,0,0,6,1,0,1,1,1,0,0,1,1,0,3,1,1,0,0,0,1,4,1,0,1,0,0,0,1,0,1,0,0,4,1,1,1,0,1
Bose,Consumer Products Manufacturing,,5001 to 10000 Employees,1.4K,1.7K,201,301,499,https://www.bose.com/,Company - Private,$2 to $5 billion (USD),"Framingham, MA",1964,62%,20%,17%,2.8,3.9,3.9,11,1,1,1,1,1,1,1,1,1,0,1,0,1,4,1,1,1,0,1,0,0,0,0,6,1,1,0,0,0,0,1,1,1,1,5,1,1,1,1,0,1,4,1,0,1,1,0,0,1,0,0,0,0,4,1,1,1,0,1
Sheetz,Convenience Stores & Truck Stops,,10000+ Employees,1.3K,2.6K,2.3K,208,246,https://www.sheetz.com/,Company - Private,$5 to $10 billion (USD),"Altoona, PA",1952,81%,10%,9%,2.1,4,3.9,3,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,1,1,1,1,1,0,0,0,3,1,0,0,1,0,1,0,0,0,0,3,1,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1
AdventHealth Greater Orlando,Health Care Services & Hospitals,29 office locations,10000+ Employees,1.2K,1.9K,127,241,364,https://www.adventhealth.com/,Hospital,Unknown / Non-Applicable,"Altamonte Springs, FL",1908,74%,13%,13%,2.6,3.8,3.9,12,1,1,1,1,1,1,1,1,1,1,1,0,1,4,1,1,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,1,1,1,4,1,1,1,0,0,1,4,1,0,1,0,0,0,1,0,1,0,0,4,1,1,1,0,1
Cross Country Nurses,Staffing & Outsourcing,12 office locations,1001 to 5000 Employees,64,5.7K,5.1K,7,4,https://www.crosscountrynurses.com/,Subsidiary or Business Segment,Unknown / Non-Applicable,"Boca Raton, FL",1986,100%,17%,17%,2.8,4.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pacific Gas and Electric,Utilities,25 office locations,10000+ Employees,1.6K,2.8K,205,361,481,https://www.pge.com/,Company - Public (PCG),$10+ billion (USD),"San Francisco, CA",1905,61%,14%,24%,2.8,4.2,3.9,6,1,1,1,1,1,1,0,0,0,0,0,0,0,4,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,3,1,1,1,0,0
Juniper Networks,Telecommunications Services,31 office locations,5001 to 10000 Employees,2.9K,3.8K,192,594,1.0k,https://www.juniper.net/,Company - Public (JNPR),$2 to $5 billion (USD),"Sunnyvale, CA",1996,65%,18%,17%,3.1,4.2,3.9,11,1,1,1,1,1,1,1,1,1,0,1,0,1,7,0,1,1,1,1,1,1,0,1,5,1,1,0,1,0,0,0,0,1,1,5,1,1,1,1,0,1,7,1,0,1,1,1,0,1,0,1,0,1,4,1,1,1,0,1
Bose,Consumer Products Manufacturing,,5001 to 10000 Employees,1.4K,1.7K,201,301,499,https://www.bose.com/,Company - Private,$2 to $5 billion (USD),"Framingham, MA",1964,62%,20%,17%,2.8,3.9,3.9,11,1,1,1,1,1,1,1,1,1,0,1,0,1,4,1,1,1,0,1,0,0,0,0,6,1,1,0,0,0,0,1,1,1,1,5,1,1,1,1,0,1,4,1,0,1,1,0,0,1,0,0,0,0,4,1,1,1,0,1
Sheetz,Convenience Stores & Truck Stops,,10000+ Employees,1.3K,2.6K,2.3K,208,246,https://www.sheetz.com/,Company - Private,$5 to $10 billion (USD),"Altoona, PA",1952,81%,10%,9%,2.1,4,3.9,3,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,1,1,1,1,1,0,0,0,3,1,0,0,1,0,1,0,0,0,0,3,1,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1
CBRE,Real Estate,25 office locations,10000+ Employees,5.7K,8.1K,2.3K,1.1k,1.4k,https://www.cbre.com/,Company - Public (CBRE),Unknown / Non-Applicable,"Los Angeles, CA",1906,65%,17%,18%,2.7,3.5,3.9,12,1,1,1,1,1,1,1,1,1,0,1,1,1,5,0,1,1,0,1,1,0,1,0,5,1,1,0,0,0,0,1,1,1,0,5,1,1,1,1,0,1,4,1,0,1,0,0,0,1,0,1,0,0,3,1,1,1,0,0
Atrium Health,Health Care Services & Hospitals,21 office locations,10000+ Employees,1.3K,2.2K,2.2K,215,402,https://www.atriumhealth.org/,Hospital,$2 to $5 billion (USD),"Charlotte, NC",1943,76%,11%,13%,2.7,2.9,3.9,10,1,1,1,1,1,1,1,1,0,1,0,0,1,4,1,1,1,0,1,0,0,0,0,6,1,0,1,1,1,0,0,1,1,0,3,1,1,0,0,0,1,4,1,0,1,0,0,0,1,0,1,0,0,4,1,1,1,0,1
GlaxoSmithKline,Biotech & Pharmaceuticals,108 office locations,10000+ Employees,7.4K,3.8K,2.1K,1.5k,2.0k,https://www.gsk.com/,Company - Public (GSK.L),$10+ billion (USD),"Brentford, United Kingdom",1830,68%,13%,19%,3.1,4.2,4,12,1,1,1,1,1,1,1,1,1,0,1,1,1,7,1,1,1,1,1,1,0,0,1,8,1,1,0,1,1,0,1,1,1,1,5,1,1,1,1,0,1,8,1,0,1,1,0,0,1,1,1,1,1,5,1,1,1,1,1
George Washington University,Colleges & Universities,8 office locations,1001 to 5000 Employees,1.4K,1.9K,184,204,373,https://www.business.gwu.edu/,College / University,$1 to $2 billion (USD),"Washington, DC",1821,66%,15%,19%,2.4,3.6,3.9,8,1,1,0,1,1,1,1,0,0,0,1,0,1,3,0,1,1,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,1,0,4,1,1,1,0,0,1,4,1,0,1,0,0,0,0,0,1,0,1,4,1,1,1,0,1
Estée Lauder Companies,Consumer Products Manufacturing,25 office locations,10000+ Employees,2.5K,2.1K,1.2K,445,744,https://www.elcompanies.com/,Company - Public (EL),$10+ billion (USD),"New York, NY",1946,58%,20%,22%,2.8,4.2,4,9,1,1,0,1,0,1,1,1,1,1,0,0,1,7,1,1,1,1,1,1,1,0,0,4,1,1,0,0,0,0,1,0,1,0,4,1,1,1,0,0,1,8,1,1,1,1,1,0,1,1,1,0,0,4,1,1,1,0,1
CBRE,Real Estate,25 office locations,10000+ Employees,5.7K,8.1K,2.3K,1.1k,1.4k,https://www.cbre.com/,Company - Public (CBRE),Unknown / Non-Applicable,"Los Angeles, CA",1906,65%,17%,18%,2.7,3.5,3.9,12,1,1,1,1,1,1,1,1,1,0,1,1,1,5,0,1,1,0,1,1,0,1,0,5,1,1,0,0,0,0,1,1,1,0,5,1,1,1,1,0,1,4,1,0,1,0,0,0,1,0,1,0,0,3,1,1,1,0,0
Hewlett Packard Enterprise | HPE,Enterprise Software & Network Solutions,25 office locations,10000+ Employees,12.4K,15.9K,1.9K,1.3k,4.2k,https://www.hpe.com/,Company - Public (HPE),Unknown / Non-Applicable,"Palo Alto, CA",2015,67%,14%,19%,2.8,3.5,3.9,11,1,1,1,1,1,1,1,1,1,0,1,0,1,7,0,1,1,1,1,1,1,0,1,7,1,1,1,0,1,0,0,1,1,1,5,1,1,1,1,0,1,6,1,0,1,1,0,0,1,0,1,0,1,2,1,1,0,0,0
Quicken Loans,Lending,4 office locations,10000+ Employees,2.7K,3.7K,116,1.5k,665,https://www.quickenloans.com/,Company - Private,$10+ billion (USD),"Detroit, MI",1985,59%,18%,23%,2.6,4.4,4,8,1,1,0,1,1,1,1,1,0,0,0,0,1,4,1,1,1,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,4,1,1,1,1,0,0,3,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1
Beth Israel Deaconess Medical Center,Health Care Services & Hospitals,11 office locations,10000+ Employees,798,1.9K,771,158,228,https://jobs.bidmc.org/,Nonprofit Organization,$1 to $2 billion (USD),"Boston, MA",1996,69%,16%,14%,2.6,3.8,3.9,10,1,1,1,1,1,1,1,1,0,1,1,0,0,3,1,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,3,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0
Ameriprise,Investment Banking & Asset Management,25 office locations,10000+ Employees,2.2K,3.2K,308,449,687,https://www.ameriprise.com/,Company - Public (AMP),$10+ billion (USD),"Minneapolis, MN",1894,61%,17%,22%,2.7,3.6,3.9,12,1,1,1,1,1,1,1,1,1,1,1,0,1,8,1,1,1,1,1,1,0,1,1,5,0,1,0,0,1,0,1,1,1,0,5,1,1,1,1,0,1,6,1,0,1,0,1,0,1,0,1,0,1,4,1,1,1,0,1
YMCA,Social Assistance,27 office locations,10000+ Employees,12K,11.3K,6.8K,1.7k,1.9k,https://www.ymca.net/,Nonprofit Organization,$100 to $500 million (USD),"Chicago, IL",1982,77%,8%,15%,2.2,3.2,4,11,1,1,0,1,1,1,1,1,1,1,1,1,0,6,1,1,1,0,1,0,0,1,1,6,1,0,0,0,0,1,1,1,1,1,5,1,1,1,1,0,1,8,1,1,1,1,1,0,1,0,1,0,1,5,1,1,1,1,1
Merrill Lynch,Investment Banking & Asset Management,39 office locations,10000+ Employees,4.1K,6.6K,--,1.1k,760,https://www.ml.com/,Subsidiary or Business Segment,$10+ billion (USD),"New York, NY",1820,71%,9%,20%,2.8,4.1,3.9,7,1,1,1,0,1,1,1,0,0,0,0,0,1,5,0,1,1,0,1,1,0,0,1,5,1,1,0,0,1,0,1,0,1,0,3,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,1
General Dynamics Mission Systems,Aerospace & Defense,26 office locations,10000+ Employees,1.3K,2.8K,381,223,320,https://www.gdmissionsystems.com/,Subsidiary or Business Segment,$2 to $5 billion (USD),"Fairfax, VA",1952,68%,11%,20%,2.4,3.5,3.9,11,1,1,1,1,1,1,1,1,1,0,1,0,1,2,0,1,0,0,0,0,0,1,0,6,1,0,0,0,1,0,1,1,1,1,4,1,1,1,0,0,1,7,1,1,1,1,0,0,1,0,1,0,1,2,0,1,0,0,1
Regeneron Pharmaceuticals,Biotech & Pharmaceuticals,9 office locations,5001 to 10000 Employees,889,2.2K,1.1K,497,215,https://www.regeneron.com/,Company - Public (REGN),$5 to $10 billion (USD),"Tarrytown, NY",1988,61%,17%,22%,2.9,4.1,4,7,1,1,0,1,1,1,0,1,0,0,0,0,1,3,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,6,1,1,1,1,0,0,0,0,1,0,1,3,0,1,1,0,1
Northern Trust,Banks & Credit Unions,25 office locations,10000+ Employees,2.8K,2.7K,343,650,688,https://www.northerntrust.com/,Company - Public (NTRS),$2 to $5 billion (USD),"Chicago, IL",1889,64%,14%,22%,2.8,4,3.9,12,1,1,1,1,1,1,1,1,1,0,1,1,1,6,1,1,1,0,1,0,0,1,1,8,1,1,0,1,1,1,1,1,1,0,5,1,1,1,1,0,1,6,1,1,1,0,1,0,0,0,1,1,0,5,1,1,1,1,1
Cleveland Clinic,Health Care Services & Hospitals,28 office locations,10000+ Employees,2.3K,5K,3.1K,516,689,https://www.clevelandclinic.org/,Nonprofit Organization,$2 to $5 billion (USD),"Cleveland, OH",1921,65%,15%,20%,2.7,4.3,3.9,13,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,0,1,1,0,0,0,7,1,0,0,1,1,1,0,1,1,1,4,1,1,1,0,0,1,8,1,1,1,1,0,0,1,1,1,0,1,4,1,1,1,0,1
Northern Trust,Banks & Credit Unions,25 office locations,10000+ Employees,2.8K,2.7K,343,650,688,https://www.northerntrust.com/,Company - Public (NTRS),$2 to $5 billion (USD),"Chicago, IL",1889,64%,14%,22%,2.8,4,3.9,12,1,1,1,1,1,1,1,1,1,0,1,1,1,6,1,1,1,0,1,0,0,1,1,8,1,1,0,1,1,1,1,1,1,0,5,1,1,1,1,0,1,6,1,1,1,0,1,0,0,0,1,1,0,5,1,1,1,1,1
WarnerMedia,TV Broadcast & Cable Networks,7 office locations,10000+ Employees,2K,2.9K,791,438,726,https://www.warnermediagroup.com/,Subsidiary or Business Segment,$10+ billion (USD),"New York, NY",2003,64%,14%,22%,2.8,4.3,4,6,1,1,1,1,1,1,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,4,1,1,1,0,0,0,0,0,1,0,5,1,1,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,4,1,1,1,0,1
ABB,Energy,24 office locations,10000+ Employees,5.2K,2.2K,1.8K,810,1.5k,https://new.abb.com/us,Company - Public (ABB),$10+ billion (USD),"Cary, NC",1883,68%,13%,18%,2.9,3.6,3.9,12,1,1,1,1,1,1,1,1,1,0,1,1,1,7,1,1,1,1,1,1,0,1,0,7,1,0,1,1,1,0,0,1,1,1,4,1,1,1,0,0,1,4,1,0,1,0,0,0,1,0,0,0,1,4,0,1,1,1,1
eBay,Internet,24 office locations,10000+ Employees,3.9K,8.3K,553,1.0k,1.4k,https://www.ebayinc.com/,Company - Public,$10+ billion (USD),"San Jose, CA",1995,55%,25%,20%,3,4.2,4,11,1,1,1,1,1,1,1,1,1,0,1,0,1,7,0,1,1,1,1,1,1,0,1,9,1,1,1,1,1,0,1,1,1,1,5,1,0,1,1,1,1,8,1,1,1,1,1,0,1,0,1,0,1,4,1,1,1,0,1
Grant Thornton,Accounting,69 office locations,5001 to 10000 Employees,3.9K,4.8K,719,1.1k,652,https://www.grantthornton.com/,Company - Private,$1 to $2 billion (USD),"Chicago, IL",1924,74%,9%,17%,2.7,3.8,3.9,6,1,1,1,1,1,1,0,0,0,0,0,0,0,4,1,1,1,0,1,0,0,0,0,5,1,1,1,1,0,0,0,0,1,0,3,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,4,1,1,1,0,1
Discover,Financial Transaction Processing,25 office locations,10000+ Employees,2.5K,5.2K,3K,662,849,https://www.discover.com/,Company - Public (DFS),$5 to $10 billion (USD),"Riverwoods, IL",1985,64%,20%,16%,2.7,4.3,4,12,1,1,1,1,1,1,1,1,1,1,1,0,1,6,0,1,1,1,1,1,0,0,1,8,1,1,1,0,1,0,1,1,1,1,3,1,0,1,0,0,1,6,1,0,1,1,0,0,1,0,1,0,1,4,1,1,1,0,1
GE,Industrial Manufacturing,37 office locations,10000+ Employees,13.5K,12.2K,397,2.9k,4.3k,https://www.ge.com/,Company - Public (GE),$10+ billion (USD),"Boston, MA",1892,70%,10%,21%,2.9,3.7,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,0,0,0,1,1,8,1,1,1,0,1,0,1,1,1,1,5,1,1,1,1,0,1,9,1,1,1,1,0,0,1,1,1,1,1,4,1,1,1,0,1
Lyft,Computer Hardware & Software,60 office locations,5001 to 10000 Employees,2.8K,3.1K,1.2K,1.2k,535,https://www.lyft.com/,Company - Public (LYFT),Unknown / Non-Applicable,"San Francisco, CA",2012,65%,23%,12%,2.8,3.6,3.6,6,1,1,0,1,0,1,0,0,1,0,0,0,1,5,1,1,0,1,1,0,0,0,1,3,0,1,0,0,0,0,1,0,0,1,4,1,1,1,1,0,0,6,1,1,0,0,1,1,1,0,1,0,0,2,0,1,0,0,1
FactSet,Financial Analytics & Research,17 office locations,5001 to 10000 Employees,2.2K,2.2K,281,1.3k,701,https://www.factset.com/,Company - Public (FDS),$1 to $2 billion (USD),"Norwalk, CT",1978,65%,12%,23%,3,4.3,3.9,3,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,1,1,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,4,1,1,1,1,0,0,5,1,1,0,1,0,0,1,0,1,0,0,2,0,1,1,0,0
Ralph Lauren,Other Retail Stores,2 office locations,10000+ Employees,2.7K,3.3K,590,569,707,https://www.ralphlauren.com/,Company - Public (RL),$5 to $10 billion (USD),"New York, NY",1967,68%,15%,17%,2.4,3.6,3.8,7,1,1,1,1,1,1,0,0,0,1,0,0,0,4,0,1,1,0,1,1,0,0,0,3,1,0,0,0,0,0,1,0,1,0,4,1,1,1,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0
Extra Space Storage,Real Estate,28 office locations,1001 to 5000 Employees,1.2K,1.2K,281,203,490,https://www.extraspace.com/,Company - Public (EXR),$1 to $2 billion (USD),"Salt Lake City, UT",1977,69%,22%,10%,2.7,3.7,3.9,10,1,1,1,1,1,1,1,1,0,0,1,0,1,3,0,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,4,1,1,1,0,0,1,4,1,0,1,0,0,0,1,0,1,0,0,2,0,1,1,0,0
Sanofi,Biotech & Pharmaceuticals,32 office locations,10000+ Employees,5.6K,3.5K,1.1K,942,2.0k,https://www.sanofi.com/,Company - Public (SNY),$10+ billion (USD),"Paris, France",1973,66%,13%,21%,2.9,4.2,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,0,0,1,1,7,1,1,1,0,1,0,1,0,1,1,4,1,1,1,0,0,1,8,1,1,1,1,0,0,1,0,1,1,1,4,1,1,1,0,1
Infor,Computer Hardware & Software,25 office locations,10000+ Employees,2.6K,2K,501,441,820,https://www.infor.com/,Company - Private,$2 to $5 billion (USD),"New York, NY",2003,60%,21%,19%,2.8,3.8,3.9,10,1,1,1,1,1,1,1,1,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,4,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
AOL,Publishing,15 office locations,5001 to 10000 Employees,1.5K,2.6K,8,289,395,https://corp.aol.com/,Company - Public,$2 to $5 billion (USD),"New York, NY",1985,59%,20%,20%,2.9,4.2,3.8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
Mindtree,IT Services,31 office locations,10000+ Employees,6.2K,4.7K,70,1.7k,1.2k,https://www.mindtree.com/,Company - Public (MINDTREE),$500 million to $1 billion (USD),"Bangalore, India",1999,66%,16%,17%,2.8,3.6,3.9,9,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,1,1,0,1,1,5,1,0,1,1,1,0,0,0,1,0,0,2,0,1,1,0,0
Bechtel,Architectural & Engineering Services,32 office locations,10000+ Employees,1.7K,2.9K,191,293,565,https://www.bechtel.com/,Company - Private,$10+ billion (USD),"Reston, VA",1898,69%,11%,21%,2.7,4,4,10,1,1,1,1,1,1,1,1,0,0,1,0,1,4,1,1,1,0,0,0,0,0,1,4,1,0,0,0,0,1,1,1,0,0,2,1,0,1,0,0,0,4,1,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,1
